地区,指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
河南,房地产投资累计值(亿元),7464.59,6631.26,5879.16,5194.01,4499.98,3871.3,3261.12,2516.6,1818.22,1196.96,537.26,,7015.47,6226.48,5472.9,4840.23,4212.27,3664.12,3131.32,2417.75,1781.92,1138.65,511.14,,7090.25,6315.64,5603.92,4868.25,4197.71,3560.02,2965.95,2180.86,1573.97,1005.97,451.76,
河南,房地产投资累计增长(%),6.4,6.5,7.4,7.3,6.8,5.7,4.1,4.1,2,5.1,5.1,,-1.1,-1.4,-2.3,-0.6,0.3,2.9,5.6,10.9,13.2,13.2,13.1,,14.7,15.5,17.4,18.3,19.1,20.2,22.9,24,24.7,25.2,24.4,
河南,房地产住宅投资累计值(亿元),6055.37,5380.75,4751.96,4200.36,3647.5,3142.77,2631.9,2035.37,1452.42,955.98,425.73,,5387.62,4768.44,4172.79,3707.18,3222.63,2780.67,2365.34,1826.22,1331.32,836.03,379.83,,5330.8,4746.56,4209.94,3646.87,3134.19,2639.13,2192.82,1602.08,1154.23,735.89,335.95,
河南,房地产住宅投资累计增长(%),12.4,12.8,13.9,13.3,13.2,13,11.3,11.5,9.1,14.3,12.1,,1.1,0.5,-0.9,1.7,2.8,5.4,7.9,14,15.3,13.6,13.1,,17,17.2,18.4,18.7,19.2,19.4,22.3,23.6,26.3,26.3,26.2,
青海,房地产投资累计值(亿元),406.29,394.85,340.25,288.92,250.23,211.8,159.41,77.05,39.88,11.23,0.73,,351.82,344.33,310.66,272.18,262.18,213.38,161.44,99.49,54.57,18.7,1.56,,408.59,407.49,359.87,302.61,251.69,196.2,142.61,82.04,47.87,14.94,3.07,
青海,房地产投资累计增长(%),15.5,14.7,9.5,6.1,-4.6,-0.7,-1.3,-22.6,-26.9,-39.9,-52.9,,-13.9,-15.5,-13.7,-10.1,4.2,8.8,13.2,21.3,14,25.2,-49.2,,2.9,3.9,2.7,2.8,0.6,-3.4,-5.9,-10.4,-5.3,3.6,17.4,
青海,房地产住宅投资累计值(亿元),294.08,286.15,246.04,207,178.81,151.57,113.18,52.06,26.32,6.75,0.58,,215.89,211.1,190.88,164.82,158.44,127.05,95.8,62.02,34,9.96,0.66,,213.66,215.01,188.81,159.2,133.88,105.17,79.07,45.53,26.47,7.41,2.08,
青海,房地产住宅投资累计增长(%),36.2,35.6,28.9,25.6,12.9,19.3,18.1,-16.1,-22.6,-32.3,-12.2,,1,-1.8,1.1,3.5,18.3,20.8,21.2,36.2,28.4,34.4,-68.3,,-6.2,-4.3,-7.2,-8.2,-7.8,-8.2,-6.1,-5.1,9.3,5,17.4,
河北,房地产投资累计值(亿元),4347.05,4112.55,3762.03,3400.12,2962.48,2545.56,2104.86,1369.99,953.89,591.67,177.61,,4476.4,4182.55,3844.95,3438.03,2905.76,2423.13,1963.99,1405.37,961.76,600.17,208.54,,4823.91,4580.23,4228.54,3757.59,3202.03,2702.71,2239.79,1657.59,1167.02,717.94,220.49,
河北,房地产投资累计增长(%),-2.9,-1.7,-2.2,-1.1,2,5.1,7.2,-2.5,-0.8,-1.4,-14.8,,-7.2,-8.7,-9.1,-8.5,-9.3,-10.3,-12.3,-15.2,-17.6,-16.4,-5.4,,2.7,3.2,4,5,5.3,5.9,6.2,8.4,8.9,4.8,6.8,
河北,房地产住宅投资累计值(亿元),3455.74,3264.14,2985.53,2697.45,2350.38,2018.07,1656.06,1087.47,756.78,467.9,136.89,,3471.11,3248.97,2984.91,2671.61,2255.2,1875.82,1522.58,1089.32,740.45,463.05,159.36,,3656.98,3475.45,3206.03,2848.51,2427.31,2047.74,1686.3,1248.05,864.65,516.42,152.91,
河北,房地产住宅投资累计增长(%),-0.4,0.5,0,1,4.2,7.6,8.8,-0.2,2.2,1,-14.1,,-5.1,-6.5,-6.9,-6.2,-7.1,-8.4,-9.7,-12.7,-14.4,-10.3,4.2,,5.2,6.1,6.8,8,8.8,10.1,9.7,10.6,9.1,1.2,-4,
